"cell.id";"longitude_cell";"latitude_cell";"-P50";"Slope";"-TLP";"LS";"Ks";"WD";"LMA";"N";"group";"per";"MAT";"MAP";"meanT_Q";"pre_dryQ";"AI"
12367;16.375;59.375;1.1098887033806;3.98352658814245;0.770007623746122;-1.02880995543627;-0.0702732917399678;0.496398192704436;4.9525752254361;2.80813169626181;"NC";0.682197686633127;NA;NA;NA;NA;NA
12368;14.875;64.625;1.24201712777676;4.04451416042821;0.871642218623381;-0.923653030877793;-0.318529085284272;0.457773309549461;4.97351312846951;2.66978721623624;"NC";0.869048245842073;NA;NA;NA;NA;NA
12369;13.375;60.625;1.16424990222127;3.61623010118937;0.770224653941742;-1.34987287407362;-0.490368311981253;0.527900108569396;5.20960483822408;2.63102079446703;"NC";0.899159083518879;NA;NA;NA;NA;NA
12370;16.875;58.375;0.997049508061303;3.84558280431566;0.764826120042489;-1.04181931987367;0.0496043869953947;0.54898193725203;4.87945201227702;2.91673639541631;"BD";0.542812968495706;NA;NA;NA;NA;NA
12371;19.125;59.875;1.08085769364286;3.71110320280721;0.716658243919255;-1.2721177453088;0.00511297233879403;0.508989605276567;4.96861012498379;2.92037543401685;"NC";0.636176423921022;NA;NA;NA;NA;NA
12372;23.625;67.875;1.15071060254713;3.19127023107792;0.73590444089243;-1.72074102107143;-0.737126927253815;0.563421130048588;5.34713751641727;2.55316644297378;"NC";0.974738080777407;NA;NA;NA;NA;NA
12373;12.875;60.125;1.17926508787895;3.78673193587591;0.799194247018726;-1.21287924169789;-0.396213866545681;0.506797859140602;5.13996578912333;2.65805065832118;"NC";0.877023513918311;NA;NA;NA;NA;NA
12374;12.375;61.125;1.21270726611612;3.95659972691297;0.841348802237162;-1.02025366572405;-0.32358540162139;0.477529918423928;5.02134315188341;2.68331989139293;"NC";0.847827043277807;NA;NA;NA;NA;NA
12375;13.125;59.125;1.11197849397385;3.73950388880243;0.786107268260046;-1.19553942801563;-0.147206759504972;0.515826715177224;5.07811911314871;2.74202857595791;"NC";0.74231439497056;NA;NA;NA;NA;NA
12376;15.375;58.125;1.15483067803042;3.69108859726172;0.7759380756458;-1.2677554632497;-0.364146131256312;0.517826961634713;5.1503812693595;2.68738689373387;"NC";0.846919947413089;NA;NA;NA;NA;NA
12377;16.375;63.125;1.15335502552426;3.87217749609819;0.778854409281842;-1.16591336277204;-0.292339246244852;0.506153294204328;5.09041535491508;2.71367071481604;"NC";0.814980982145341;NA;NA;NA;NA;NA
12378;19.375;65.125;1.14232078091596;3.68350333147821;0.754140165595701;-1.30870885330668;-0.390598036460291;0.527388629351128;5.17405300378074;2.67638357491965;"NC";0.848941115505352;NA;NA;NA;NA;NA
12379;15.375;62.875;1.22423574803438;3.90015868641371;0.843924279500047;-1.06222707237613;-0.411002379154946;0.481929153120855;5.07729866007773;2.63946411547535;"NC";0.899419500839817;NA;NA;NA;NA;NA
12380;22.125;66.125;0.980908479605231;4.00858586731547;0.66401679110579;-1.06864931797646;0.145428536813674;0.519046270708418;4.88148822358783;2.93090153447811;"NC";0.503545058860014;NA;NA;NA;NA;NA
12381;23.875;66.625;1.10882966743684;3.72432085044282;0.73289464350581;-1.31813328354158;-0.290472145822207;0.532935963913938;5.15362199311977;2.72205464680321;"NC";0.792948859986616;NA;NA;NA;NA;NA
12382;17.375;63.375;1.1233356868485;3.97882965685305;0.743698927219884;-1.10930083791237;-0.166612274228577;0.496827610827342;4.97819293887211;2.77819393924087;"NC";0.737247547651021;NA;NA;NA;NA;NA
12383;23.125;66.625;1.13482115119925;3.63697583371915;0.75792963599429;-1.33657187660998;-0.355532776101633;0.529225931365883;5.18054734233605;2.67561276671159;"NC";0.842175037962374;NA;NA;NA;NA;NA
12384;17.875;63.125;1.15898768889419;3.91227864590176;0.782599951141311;-1.16128683029049;-0.296138137402999;0.499396122579646;5.08182471684745;2.71731491374632;"NC";0.825853819441051;NA;NA;NA;NA;NA
12385;18.375;63.125;1.17031132682643;3.98990287757;0.810955119806803;-1.01881226051983;-0.193145616440881;0.481492678233586;4.98898605483228;2.73955738688723;"NC";0.782860939059693;NA;NA;NA;NA;NA
12386;22.375;66.375;1.21183037822437;3.65852256635346;0.610590285700975;-1.80282448883757;-0.887506915525603;0.475229005314709;4.84863378874697;2.49928243045085;"NC";1;NA;NA;NA;NA;NA
12387;17.125;62.375;1.1453889892747;4.16724947384808;0.795517299761585;-0.963597438775925;-0.0765003426827242;0.466707681985338;4.8887524843672;2.81915927329403;"NC";0.717574706852087;NA;NA;NA;NA;NA
12388;17.625;63.875;1.18854905631045;3.56386820517896;0.796825396669568;-1.3556740384066;-0.557415979438299;0.525057004727359;5.22116338761599;2.59848336839644;"NC";0.927647912079071;NA;NA;NA;NA;NA
12389;17.125;63.375;1.08778712588608;3.87416636565412;0.704260431939628;-1.45043813789192;-0.281531511857249;0.524399477479789;5.15459128663628;2.76510000026199;"NC";0.806934955443336;NA;NA;NA;NA;NA
12390;21.625;66.375;1.150505526755;3.72869359155356;0.779912500686405;-1.23078283668608;-0.312481521104857;0.514563301065182;5.13301686166416;2.68433168872986;"NC";0.833031807461785;NA;NA;NA;NA;NA
12391;16.625;62.375;1.16449566988046;4.01644106047001;0.786011053113774;-1.02040941981304;-0.152267686840621;0.47060294413492;4.87913395208299;2.74904705331518;"NC";0.75538335537275;NA;NA;NA;NA;NA
12392;18.375;63.625;1.17413971082995;3.93056880133736;0.765201578566799;-1.16478883026848;-0.323155814303149;0.486824285213425;4.9813320384675;2.69388256540659;"NC";0.827701201700058;NA;NA;NA;NA;NA
12393;20.625;64.875;1.04652839961987;4.06381567150067;0.722771562965409;-1.06758176045564;0.0444059106929866;0.507198001766162;4.92041793282477;2.87765914886578;"NC";0.593182867949216;NA;NA;NA;NA;NA
12394;21.125;65.875;1.14596676008761;3.52597187220357;0.747878177512314;-1.44146797625644;-0.506976403768054;0.541911174649897;5.24597129774031;2.63152658446994;"NC";0.89614532601497;NA;NA;NA;NA;NA
12395;17.625;64.125;1.18299242470311;3.57904225769928;0.685224537560271;-1.61629708348353;-0.702427625572964;0.508793164226954;5.07563445938165;2.5587356370979;"NC";0.957269519411594;NA;NA;NA;NA;NA
12396;12.625;60.125;1.17405881903708;3.97386392623893;0.803363665293648;-1.05200460295594;-0.251796497844362;0.486610777056353;5.02141097224553;2.72531749530458;"NC";0.806623114589946;NA;NA;NA;NA;NA
12397;19.125;63.375;1.24614689594945;3.79356070992299;0.859448371346581;-1.12964435339827;-0.551455094659845;0.487706809726392;5.13589746316911;2.58082588177265;"NC";0.956690291932522;NA;NA;NA;NA;NA
12398;15.875;61.875;1.18658560978005;3.60599367699878;0.79005691030738;-1.3422594909308;-0.555585951347652;0.522569532579134;5.22028712523574;2.59997286460519;"NC";0.935373008846886;NA;NA;NA;NA;NA
12399;16.625;59.375;1.06866648154;3.90327745670219;0.739870889623512;-1.15406602154879;-0.034768541512233;0.515597409130209;5.01503508127785;2.82186623112782;"NC";0.66130862278995;NA;NA;NA;NA;NA
12400;16.625;63.125;1.16814718191575;3.62635600857225;0.774997767144923;-1.34748444426398;-0.497264455421764;0.526700798355125;5.21069232431883;2.62725317347276;"NC";0.904391135363311;NA;NA;NA;NA;NA
12401;16.375;62.125;1.21037647688036;3.91700887506976;0.757303096182274;-1.19734499619721;-0.448931204072219;0.468975483557579;4.9108398703723;2.6349307375159;"NC";0.888194351098159;NA;NA;NA;NA;NA
12402;16.375;61.875;1.2126784113107;3.68842609883839;0.808409101255891;-1.27777778716811;-0.577383259879181;0.506140590745353;5.17053575496836;2.58486095665563;"NC";0.950228641903395;NA;NA;NA;NA;NA
12403;21.375;64.625;1.07938799749093;3.69060798660543;0.69755464522436;-1.34558756652262;-0.256426418799831;0.541654147899154;5.15000107244161;2.74900235768865;"NC";0.758726673404776;NA;NA;NA;NA;NA
12404;17.625;62.875;1.16925304729073;4.04067546819716;0.799687133985479;-1.03038375654393;-0.208882698053954;0.478891060767576;4.97571481239265;2.7488516683195;"NC";0.786500210478085;NA;NA;NA;NA;NA
12405;20.625;65.875;1.18962541487935;3.79553061962048;0.807153900551078;-1.18470733801594;-0.416558645151897;0.50362676039924;5.13210635308668;2.64833828095942;"NC";0.884611118977515;NA;NA;NA;NA;NA
12406;23.125;66.125;1.13593754448342;3.80476232153065;0.753735200502303;-1.23318550296746;-0.295247842494579;0.515377209247508;5.09951845082505;2.71341221860641;"NC";0.804917376557263;NA;NA;NA;NA;NA
12407;21.875;65.875;1.14769232926007;3.76460673366608;0.775882465071341;-1.2088965395938;-0.2976532385895;0.513446549843118;5.11924457907844;2.69669294974581;"NC";0.821119670087638;NA;NA;NA;NA;NA
12408;22.625;66.125;1.19191835157074;3.42636751441468;0.726055655735711;-1.6486617486436;-0.801849918318821;0.525811609207987;5.2038724903906;2.52169474136273;"NC";1;NA;NA;NA;NA;NA
12409;18.375;63.875;1.1887663619661;3.52643363546243;0.787387755860687;-1.40426104385946;-0.623864976712095;0.529229832281792;5.25237339004159;2.5750865726594;"NC";0.958661845863376;NA;NA;NA;NA;NA
