"species.orig"	"genus.orig"	"family.orig"	"P50"	"slope"	"TLP"	"LS"	"Ks"	"WD"	"LMA"	"leafN"	"group"
"148"	"Cercis siliquastrum"	"Cercis"	"Fabaceae"	0.598836501	3.724125934	0.631271777	-0.386096398	0.553885113	0.535	4.226249633	3.276767303	"BD"
"149"	"Cestrum laurifolium"	"Cestrum"	"Solanaceae"	1.351503190885	3.493604817355	0.93651772337	-0.63948403624	0.13664780756	0.591725	4.277542287685	2.80087228941	"BE"
"150"	"Chamaecyparis lawsoniana"	"Chamaecyparis"	"Cupressaceae"	1.91839212	2.761906874	1.123304901	-1.5682425535	-1.714798428	0.44	5.070381098	2.549445171	"NC"
"151"	"Chamaecyparis nootkatensis"	"Chamaecyparis"	"Cupressaceae"	1.91839212	2.761906874	1.123304901	-1.5682425535	-1.714798428	0.385	5.070381098	2.4804423345	"NC"
"152"	"Chamaecyparis thyoides"	"Chamaecyparis"	"Cupressaceae"	1.91839212	2.761906874	1.123304901	-1.5682425535	-1.714798428	0.33	5.070381098	2.411439498	"NC"
"153"	"Chionanthus domingensis"	"Chionanthus"	"Oleaceae"	0	3.710745831	0.858661619	-1.427116356	0.6101198885	0.5575	3.7989623275	3.136146177	"BD"
"154"	"Chrysobalanus icaco"	"Chrysobalanus"	"Chrysobalanaceae"	0.803016468665	3.741201649455	0.753570742725	-0.80466694926	0.608731813525	0.79	4.32127279273	2.445819261	"BE"
"155"	"Chrysolepis chrysophylla"	"Chrysolepis"	"Fagaceae"	0.556754556	3.637191345	1.0060495465	-0.867500568	0.6790117395	0.45	4.430181475	2.151762203	"BE"
"156"	"Chrysophyllum argenteum"	"Chrysophyllum"	"Sapotaceae"	0.739553553	3.025291076	1.064710737	-0.476255196775	2.251291799	0.75	4.292990482	3.15572301	"BE"
"157"	"Chrysophyllum cainito"	"Chrysophyllum"	"Sapotaceae"	0.739553553	3.025291076	1.064710737	-0.434386762155	2.251291799	0.715	4.551241844	2.912350665	"BE"
